you,ты
anyone,кто угодно
person,человек
bye,до свидания
somebody,кто-то
heart,сердце
such,такой
point,точка
later,позже
meet,встреча
anyway,тем не мение
phone,Телефон
reason,причина
lost,потерял
look,смотрю
bring,принести
case,кейс
wish,желаю
tomorrow,завтра
trust,доверять
check,проверять
end,конец
late,поздно
anymore,больше
five,5
least,наименее
town,городок
year,год
make,сделать
mean,значить
play,играть в
hate,ненавидеть
ago,тому назад
beautiful,прекрасный
fact,факт
crazy,псих
party,партия
sit,сидеть
open,открыто
afraid,боятся
between,между
important,важный
rest,остальные
fun,весело
kid,дитя
glad,довольный
everyone,каждый
day,день
sister,сестра
minute,минута
everybody,все
bit,немного
couple,пара
either,либо
daughter,дочь
under,под
break,перерыв
door,дверь
set,набор
close,близко
easy,легко
doctor,врач
far,далеко
walk,ходить
need,нужно
trouble,беда
mine,моя
though,хотя
time,время
different,другой
hospital,больница
anybody,кто-нибудь
alright,хорошо
wedding,свадьба
shut,закрыть
able,способный
die,умри
perfect,идеально
police,полиция
stand,стоять
hit,удар
story,сказка
dinner,обед
against,против
funny,смешной
husband,муж
almost,почти
stupid,глупый
pay,платить
answer,ответ
four,четыре
office,офис
cool,круто
news,Новости
child,ребенок
half,половина
yours,твой
moment,момент
sleep,спать
young,молодой
men,люди
sonny,сынок
lucky,счастливчик
pick,выбирать
sometimes,иногда
them,их
bed,постель
also,также
date,Дата
line,линия
lose,терять
fire,Огонь
free,свободный
hand,рука
serious,серьезный
shit,дерьмо
behind,за
inside,внутри
high,высоко
ahead,впереди
wonderful,замечательный
fight,борьба
past,прошлое
cut,резать
quite,вполне
number,количество
sick,больной
game,игра
eat,есть
nobody,никто
death,смерть
along,вместе
finally,Ну наконец то
upset,расстройство
seem,кажется
safe,Безопасно
children,дети
front,фронт
shot,выстрел
love,любить
clear,Чисто
hot,горячей
six,шесть
drink,напиток
absolutely,абсолютно
how,Как
sweet,сладкий
alive,в живых
sense,смысл
happen,случиться
special,особый
bet,делать ставку
blood,кровь
lie,ложь
full,полный
meeting,встреча
dear,Уважаемые
coffee,кофе
sound,звук
fault,вина
water,воды
ten,десять
women,женщины
welcome,добро пожаловать
buy,купить
hour,час
speak,разговаривать
think,считать
Christmas,Рождество
body,тело
order,порядок
outside,вне
hang,повесить
worse,хуже
company,Компания
mistake,ошибка
handle,ручка
spend,проводить
totally,полностью
control,контроль
marriage,брак
power,мощность
president,президент
unless,если только
sex,секс
send,Отправить
picture,картина
hundred,сотня
change,изменение
explain,объяснять
certainly,безусловно
sign,знак
boy,мальчик
relationship,отношения
hair,волосы
choice,выбор
anywhere,куда угодно
secret,секрет
future,будущее
weird,странно
luck,удача
touch,прикоснуться
kiss,поцелуй
crane,кран
question,вопрос
obviously,очевидно
pain,боль
straight,Прямо
grace,Грейс
white,белый
fast,быстрый
word,слово
food,еда
none,никто
drive,водить машину
work,Работа
marry,жениться
light,свет
test,тестовое задание
drop,падение
frank,откровенный
sent,послал
city,город
dream,мечта
protect,защищать
twenty,двадцать
class,класс
surprise,сюрприз
forever,навсегда
poor,бедный
mad,Сумасшедший
except,Кроме
gun,пистолет
know,знать
dance,танцевать
take,взять
especially,особенно
situation,ситуация
besides,Кроме
week,неделя
himself,сам
act,действовать
worth,ценность
top,верх
expect,ожидать
rather,скорее
involve,вовлекать
swear,клянусь
piece,кусок
busy,занятый
law,закон
black,черный
movie,кино
catch,ловить
country,страна
less,Меньше
perhaps,возможно
step,шаг
fall,падать
dog,собака
win,выиграть
personal,личный
admit,признавать
problem,проблема
murder,убийство
strong,сильный
evil,зло
feel,Чувствовать
honest,честный
eye,глаз
broke,сломался
miss,скучать
tired,устала
evening,вечер
human,человек
red,красный
entire,весь
trip,поездка
club,клуб
suppose,предположить
calm,спокойствие
imagine,представить
fair,ярмарка
blame,винить
street,улица
apartment,квартира
court,суд
terrible,ужасный
clean,чистый
learn,учить
relax,Расслабьтесь
million,миллион
charity,благотворительная деятельность
accident,несчастный случай
prove,доказать
smart,умный
message,сообщение
small,маленький
interest,интерес
table,Таблица
become,становиться
mouth,рот
pregnant,беременная
middle,средний
ring,кольцо
careful,осторожный
shall,должен
team,команда
ride,поездка
figure,фигура
wear,носить
shoot,стрелять
stick,придерживаться
ray,луч
follow,следовать
angry,сердитый
instead,вместо
buddy,приятель
write,записывать
early,рано
angel,ангел
nick,Ник
ran,побежал
war,война
forgive,простить
jail,тюрьма
lunch,обедать
eight,восемь
thousand,тысяча
music,Музыка
tough,жесткий
tape,лента
count,считать
college,колледж
boyfriend,дружок
proud,гордый
agree,дать согласие
birthday,день рождения
bill,счет
seven,Семь
history,история
share,доля
offer,предложение
hurry,торопиться
feet,ноги
wonder,удивляться
simple,просто
decision,решение
building,строительство
finish,финиш
voice,голос
herself,сама
would,было бы
list,список
mess,беспорядок
deserve,заслужить
cute,милый
dress,платье
interesting,интересно
Jesus,Иисус
hotel,отель
enjoy,наслаждаться
quiet,тихий
road,Дорога
eve,канун
short,короткая
beat,бить
mention,упомянуть
clothe,одеть
neither,ни один
fix,исправить
respect,уважение
spent,потрачено
prison,тюрьма
attention,внимание
near,около
bar,бар
pass,проходят
gift,подарок
dark,тьма
self,я
normal,нормальный
aunt,тетя
dollar,доллар
lawyer,юрист
apart,Кроме
certain,определенный
plan,строить планы
girlfriend,любимая девушка
floor,этаж
whether,будь то
everything,все
present,подарок
earth,Земля
private,частный
box,коробка
cover,обложка
judge,судить
sake,ради
mommy,мамочка
possibly,возможно
worst,наихудший
station,станция
accept,принять
blow,дуть
strange,странный
save,спасти
plane,самолет
yesterday,вчера
quick,быстро
lately,в последнее время
stuck,застрял
lovely,прекрасный
security,безопасность
report,отчет
difference,разница
store,магазин
bag,мешок
ball,мяч
single,не замужем
doubt,сомневаться
blue,синий
deep,глубокий
park,парк
record,запись
lord,господин
join,присоединиться
key,ключ
captain,капитан
card,карта
crime,преступление
window,окно
return,вернуть
guilty,виноват
difficult,трудно
soul,душа
joke,шутка
service,оказание услуг
magic,магия
uncle,дядя
promise,обещание
public,общественный
bother,беспокоить
island,остров
seriously,шутки в сторону
cell,ячейка
lead,вести
broken,сломанный
advice,совет
somehow,как-то
push,От себя
concern,беспокойство
usually,обычно
boss,босс
rule,правило
summer,лето
thirty,тридцать
risk,рисковать
letting,позволяя
officer,офицер
support,поддержка
afternoon,после полудня
born,Родился
apologise,принести извинения
seat,сиденье
nervous,нервный
across,через
song,песня
charge,плата
patient,терпеливый
boat,лодка
brain,мозг
hide,скрывать
general,Общее
nine,девять
huge,огромный
breakfast,завтрак
horrible,какой ужас
age,возраст
awful,ужасно
pleasure,удовольствие
driving,вождение
system,система
sell,продавать
quit,уволиться
dying,умирающий
chief,начальник
faith,вера
gay,гей
month,месяц
visit,посещение
screw,винт
letter,письмо
decide,принимать решение
double,двойной
sad,печальный
press,Нажмите
forward,вперед
fool,дурак
smell,запах
spell,орфографии
memory,объем памяти
mark,отметка
slow,медленный
hungry,голоден
board,доска
position,должность
hearing,слушание
rose,Роза
kitchen,кухня
force,сила
fly,летать
during,в течение
space,Космос
kick,удар
other,Другой
grab,схватить
discuss,обсудить
third,в третьих
cat,Кот
fifty,50
mile,миля
fat,жир
reading,чтение
idiot,идиот
rock,Скала
suddenly,агент
agent,связка
bunch,уничтожить
destroy,трек
track,обувь
shoes,место действия
scene,мир
peace,демон
demon,низкий
low,рассматривать
consider,пьяный
drunk,сказать
tell,стучать
knock,колокол
bell,наличные
cash,дать
give,отдел
department,нос
nose,очередь
turn,хранить
keep,пиво
beer,раньше
sooner,много
plenty,дополнительный
extra,атака
attack,земля
ground,чья
whose,выходные дни
weekend,дело
matter,написал
wrote,тип
type,возможность
opportunity,король
king,невозможно
impossible,книга
book,машина
machine,трата
waste,притворяться
pretend,Опасность
danger,стена
wall,Прыгать
jump,доказательство
proof,полный
complete,арестовать
arrest,в совершенстве
perfectly,теплый
warm,Тянуть
pull,дважды
twice,Полегче
easier,костюм
suit,романтичный
romantic,удобный
drug,поместиться
comfortable,развод
fit,начать
divorce,близко
begin,разорение
closely,несмотря на то что
ruin,улыбка
although,смеяться
smile,рыбы
laugh,рассматривать
fish,страх
treat,янтарь
fear,парень
amber,в противном случае
guy,парень
otherwise,в противном случае
excited,возбужденный
mail,почта
green,зеленый
stole,украл
notice,уведомление
excellent,отлично
pop,поп
paper,бумага
bottom,дно
note,Примечание
sudden,внезапно
church,церковь
bathroom,ванная
sing,петь
glass,стекло
tree,дерево
contact,контакт
shop,магазин
reach,достичь
cry,крик
cake,торт
partner,партнер
bus,автобус
computer,компьютер
study,изучение
star,звезда
area,площадь
wind,ветер
chicken,курица
dry,сухой
hero,герой
error,ошибка
are,находятся
build,строить
sea,море
Saturday,суббота
add,Добавить
birth,рождение
bird,птица
grandmother,бабушка
heavy,тяжелый
west,запад
lesson,урок
heat,высокая температура
speed,скорость
milk,молоко
rain,дождь
sugar,сахар
market,рынок
process,обработать
stone,камень
serve,обслуживать
river,река
super,супер
monkey,обезьяна
pig,свинья
chat,болтать
signal,сигнал
cup,кружка
bee,пчела
a,а
above,над
addition,дополнение
among,среди
amount,количество
angle,угол
animal,животное
appear,появиться
apple,яблоко
art,искусство
as,так как
at,в
bank,банка
base,база
bear,нести
belong,принадлежать
block,блокировать
bone,кость
brown,коричневый
cannot,не можешь
capital,капитал
carry,нести
centre,центр
century,век
circle,круг
cloud,облако
cost,Стоимость
cold,холодный
column,столбец
common,общий
compere,конферансье
condition,состояние
contain,содержать
continue,Продолжать
cook,повар
copy,копировать
cow,корова
create,Создайте
cross,пересекать
crowd,толпа людей
describe,описать
desert,пустыня
design,дизайн
detail,деталь
dictionary,толковый словарь
direction,направление
ear,ухо
east,восток
like,любить
edge,край
effect,эффект
egg,яйцо
element,элемент
energy,энергия
engine,двигатель
England,Англия
English,английский
example,пример
express,экспресс
famous,известный
farm,ферма
field,поле
finger,Палец
flat,плоский
flower,цветок
foot,ступня
forest,лес
form,форма
fresh,свежий
fruit,фрукты
garden,сад
gas,газ
gold,золото
group,группа
grow,расти
hat,шапка
hole,дыра
horse,лошадь
hunt,охота
ice,лед
inch,дюйм
include,включают
increase,увеличение
indicate,указать
information,Информация
insect,насекомое
instrument,инструмент
iron,утюг
is,является
itself,сам
job,работа
lady,леди
lake,озеро
land,земля
language,язык
large,большой
lay,заложить
leg,нога
length,длина
level,уровень
lift,лифт
main,основной
many,много
map,карта
march,марш
bacon,бекон
gap,разрыв
pan,Сковорода
read,читать
made,сделанный
morning,утро
okay,Ладно
autumn,осень
aggravation,обострение
Archaic,Архаичный
pertinent,уместно
rid,избавляться
defense,защита
planning,планирование
flight,рейс
honestly,честно говоря
remind,напомнить
witness,свидетель
dare,смею
hardly,едва
steal,украсть
princess,принцесса
silly,глупый
teach,учить
plus,плюс
trial,пробный
roll,рулон
radio,радио
dirty,грязный
choose,выбирать
emergency,крайняя необходимость
credit,кредит
obvious,очевидный
loving,любящий
positive,положительный
nut,орех
price,цена
goodbye,До свидания
guard,охранять
mood,настроение
total,Всего
crap,дерьмо
crying,плач
trick,уловка
pressure,давление
arm,рука
dressed,одетый
taste,вкус
neck,шея
south,юг
something,что нибудь
nurse,медсестра
raise,поднять
lots,лоты
mister,Мистер
whoever,кто бы ни
breaking,ломка
file,файл
lock,замок
wine,вино
writing,письмо
spot,"пятно, место"
assume,предполагать
asleep,спит
legal,законный
justice,справедливость
bedroom,Спальня
shower,душ
camera,камера
fill,заполнить
forty,сорок
bigger,больше
nope,нет
breath,дыхание
pants,штаны
freak,урод
French,Французский
action,действие
folks,люди
cream,крем
focus,фокус
wild,дикий
truly,действительно
desk,стол письменный
convince,убедить
client,клиент
threw,бросил
band,группа
allow,позволять
grand,великий
shirt,Рубашка
chair,стул
rough,грубый
government,правительство
harry,Гарри
going,собирается
empty,пустой
round,круглый
insane,безумный
hall,зал
aware,осведомленный
pack,паковать
meaning,смысл
tight,плотно
ship,корабль
subject,предмет
guest,гость
match,матч
sun,солнце
confused,смущенный
surgery,хирургия
bottle,бутылка
beyond,за пределами
opinion,мнение
naked,голый
held,проводится
necessary,нужно
barely,едва
health,здоровье
video,видео
cousin,двоюродный брат
twelve,двенадцать
simply,просто
skin,кожа
often,довольно часто
fifteen,15
spirit,дух
speech,речь
issue,выпуск
final,окончательный
result,результат
code,код
research,исследование
nowhere,нигде
escape,побег
biggest,самый большой
restaurant,ресторан
page,страница
grateful,благодарен
usual,обычный
burn,сжечь
address,адрес
within,в пределах
someplace,где-нибудь
everywhere,везде
train,поезд
film,фильм
regret,сожаление
goodness,доброта
heaven,небеса
responsibility,обязанность
suspect,подозреваемый
corner,угол
terrific,потрясающий
mission,миссия
further,в дальнейшем
truck,грузовая машина
following,следующий
teeth,зубы
ruined,разрушенный
split,Трещина
airport,аэропорт
bite,кусать
older,старший
liar,лжец
van,фургон
project,проект
desperate,отчаянный
themselves,самих себя
search,поиск
damage,повреждение
spoke,говорил
quickly,быстро
scare,напугать
beach,пляж
afford,позволить себе
vote,голос
settle,селиться
passion,страсть
Friday,Пятница
tie,галстук
upon,на
rush,порыв
natural,естественный
champagne,шампанское
connection,связь
happiness,счастье
saving,экономия
personally,лично
suggest,предложить
ticket,билет
taught,учил
loose,свободный
holy,святой
staff,штат сотрудников
planet,планета
duty,долг
loud,громкий
practice,практика
bright,яркий
army,армия
warning,предупреждение
miracle,чудо
carrying,несущий
flying,летающий
blind,слепой
queen,Королева
ugly,уродливый
shopping,поход по магазинам
monster,монстр
sight,взгляд
vampire,вампир
bride,невеста
coat,Пальто
account,учетная запись
clearly,ясно
celebrate,праздновать
brilliant,блестящий
moon,Луна
lips,губы
custody,опека
center,центр
size,размер
toast,тост
student,студент
however,Однако
professional,профессиональный
reality,реальность
attitude,отношение
advantage,преимущество
grandfather,дедушка
sold,продан
grandma,бабушка
beg,просить
someday,когда-нибудь
grade,оценка
cheese,сыр
roof,крыша
pizza,пицца
powerful,мощный
fake,подделка
opening,открытие
sally,Салли
eventually,в конце концов
exciting,захватывающий
covered,покрытый
familiar,знакомые
bomb,бомбить
bout,бой
television,телевидение
harmony,гармония
colour,цвет
schedule,график
capable,способный
master,мастер
practically,практически
correct,правильный
clue,ключ к разгадке
forgotten,забытый
appointment,"деловое свидание, встреча"
social,Социальное
nature,природа
teacher,учитель
threat,угроза
bloody,кровавый
lonely,Одинокий
shame,стыд
local,местный
jacket,пиджак
hook,крючок
scary,страшно
loser,неудачник
invite,пригласить
merry,веселый
port,порт
precious,драгоценный
criminal,уголовное
growing,растущий
victim,потерпевший
professor,профессор
funeral,похороны
couch,диван
strength,прочность
loss,потеря
view,Посмотреть
beauty,красота
several,несколько
shock,шок
chocolate,шоколад
greatest,величайший
miserable,несчастный
character,характер
became,стал
enemy,враг
crash,крушение
recognize,признать
healthy,здоровый
boring,скучный
feed,подача
engage,заниматься
percent,процент
purpose,цель
north,к северу
knife,нож
drag,тянуть
fan,вентилятор
badly,плохо
hire,нанимать
curious,любопытный
paint,покрасить
pardon,прощение
built,построен
closet,стенной шкаф
candy,конфеты
warn,предупреждать
post,сообщение
survive,выжить
operation,операция
dump,свалка
rent,аренда
trade,сделка
thanksgiving,благодарение
revenge,жажда мести
available,имеется в наличии
program,программа
prefer,предпочитаю
spare,запасной
pray,молиться
aside,в сторону
statement,заявление
sometime,когда-то
meat,мясо
fantastic,фантастика
launch,запускать
tip,Подсказка
affair,дело
depend,зависеть
jury,жюри
national,национальный
brave,Храбрый
storm,буря
prince,принц
interview,интервью
football,футбол
sexy,сексуальный
explanation,объяснение
style,стиль
assistant,помощник
stronger,сильнее
pie,пирог
handsome,красивый
unbelievable,невероятно
anytime,любое время
nearly,около
shake,встряхнуть
wherever,где бы
medicine,лекарство
lousy,паршивый
circumstance,обстоятельство
stage,сцена
weak,слабый
license,лицензия
nothing,ничего
community,сообщество
trash,мусор
slip,поскользнуться
awake,проснуться
friendship,дружба
stomach,желудок
weapon,оружие
mystery,тайна
official,официальный
regular,регулярный
valley,долина
contract,договор
sexual,сексуальный
race,гонка
basically,в принципе
switch,переключатель
frankly,Откровенно
cheap,дешево
lifetime,продолжительность жизни
deny,отказываться от
painting,картина
clock,Часы
weight,вес
tear,слеза
dig,копать землю
bullet,пуля
indeed,действительно
changing,изменение
tiny,крошечный
particular,конкретный
draw,привлечь
decent,порядочный
spring,весна
avoid,избегать
united,объединенный
score,Гол
disappear,исчезнуть
stranger,чужой человек
exact,точный
harm,вред
recently,недавно
snow,снег
fortune,удача
strike,наносить удар
insurance,страхование
fancy,фантазия
drove,водил
career,карьера
shape,форма
stock,акции
fashion,мода
freedom,свобода
timing,время
guarantee,гарантия
chest,грудь
bridge,мост
woke,проснулся
source,источник
theory,теория
camp,лагерь
original,оригинал
juice,сок
access,доступ
watch,часы
heading,заголовок
selfish,эгоистичный
oil,масло
wise,мудрый
period,период
doll,кукла
committed,совершенный
freeze,заморозить
noise,шум
exist,существует
science,наука
pair,пара
sat,сидел
player,игрок
ceremony,церемония
uncomfortable,неудобный
peg,привязь
bike,велосипед
weather,Погода
mostly,главным образом
stress,стресс
permission,разрешение
possibility,возможность
faster,Быстрее
borrow,одолжить
release,выпуск
ate,ел
joy,радость
junior,младший
property,свойство
negative,отрицательный
fabulous,сказочный
vision,видение
member,член
battle,боевой
term,срок
devil,дьявол
what,какая
meal,еда
fellow,товарищ
apology,извинения
anger,гнев
honeymoon,Медовый месяц
wet,мокрый
bail,залог
parking,стоянка
hung,повесили
protection,защита
manager,управляющий делами
dawn,рассвет
Chinese,Китайский
campaign,кампания
wash,мыть
sensitive,чувствительный
photo,Фото
chose,выбрал
comfort,комфорт
worrying,беспокойство
whom,кого
pocket,карман
bleeding,кровотечение
shoulder,плечо
ignore,игнорировать
fourth,четвертый
talent,талант
garage,гараж
travel,путешествовать
success,успех
training,подготовка
rude,грубый
crack,трещина
model,модель
radar,радар
grew,выросла
remain,оставаться
soft,мягкий
meantime,тем временем
connected,связанный
chase,гнаться
cast,бросать
cancer,рак
sky,небо
likely,скорее всего
fate,судьба
bury,похоронить
hug,объятие
brother,брат
driver,Водитель
concentrate,концентрировать
throat,горло
prom,выпускной вечер
unit,единица измерения
intend,намереваться
crew,экипаж
ashame,стыд
midnight,полночь
manage,управлять
guilt,вина
terms,термины
interrupt,прервать
guts,кишки
tongue,язык
distance,расстояние
conference,конференция
treatment,лечение
shoe,обувь
basement,подвал
sentence,предложение
purse,кошелек
glasses,очки
cabin,кабина
universe,вселенная
towards,в направлении
repeat,повторение
mirror,зеркало
wound,рана
tall,высокий
reaction,реакция
odd,странный
engagement,помолвка
therapy,терапия
emotional,эмоциональный
magazine,журнал
soup,суп
society,общество
sue,Сью
stake,ставка
chef,повар
awesome,классно
genius,гений
extremely,чрезвычайно
entirely,полностью
nasty,противный
expensive,дорогая
counting,подсчет
kidnapping,похищение
square,квадрат
cleaning,уборка
shift,сдвиг
plate,тарелка
trapped,в ловушке
male,мужской
tour,тур
charming,очаровательный
attractive,привлекательный
argue,спорить
Sunday,Воскресенье
whip,хлыст
settled,поселился
package,пакет
laid,заложил
disease,болезнь
bust,бюст
staircase,лестница
alarm,тревога
pure,чистый
nail,гвоздь
nerve,нерв
incredibly,невероятно
hill,холм
lane,полоса дороги
dirt,грязь
bond,связь
stamp,печать
becoming,становление
terribly,ужасно
friendly,дружелюбный
easily,с легкостью
damn,Черт
suffering,страдание
disgusting,отвратительный
deliver,доставить
riding,верховая езда
federal,федеральный
disaster,стихийное бедствие
rate,показатель
trap,ловушка
claim,Запрос
turkey,индюк
spoken,разговорный
snake,змея
introduce,вводить
rescue,спасение
confession,признание
lover,любовник
impression,впечатление
gate,Ворота
fantasy,фантазия
reputation,репутация
It,Это
knowledge,знания
inn,гостиница
Europe,Европа
suffer,страдать
argument,аргумент
homework,домашнее задание
cancel,Отмена
director,директор
bath,ванна
prepare,подготовить
wheel,рулевое колесо
crisis,кризис
Monday,понедельник
pink,розовый
gentleman,джентльмен
toilet,туалет
agreement,соглашение
ill,больной
eleven,11
wide,широкий
popular,популярный
clinic,клиника
exchange,обмен
university,Университет
load,грузить
winter,зима
swim,плавать
holiday,праздничный день
material,материал
parent,родитель
wood,дерево
article,статья
math,математика
grant,даровать
orange,оранжевый
Thursday,Четверг
dozen,дюжина
bread,хлеб
silence,тишина
duck,утка
seventy,семьдесят
butter,масло сливочное
carrot,морковь
alcohol,алкоголь
mum,мама
headache,Головная боль
tennis,теннис
Tuesday,вторник
theatre,театр
ninety,девяносто
guide,руководство
royal,королевский
ability,способность
wing,крыло
tradition,традиция
towel,полотенце
earn,заработать
habit,привычка
event,мероприятие
basket,корзина
balance,остаток средств
exercise,упражнение
forth,вперед
eighteen,восемнадцать
perform,выполнять
everyday,ежедневно
village,деревня
journey,поездка
supply,поставка
helpful,полезный
useless,бесполезный
fourteen,14
gum,жвачка
replace,заменить
emotion,эмоция
stubborn,упрямый
provide,предоставлять
beef,говядина
nephew,племянник
victory,победа
title,заглавие
furniture,мебель
blanket,покрывало на кровать
surface,поверхность
niece,племянница
gloves,перчатки
soap,мыло
signature,подпись
zoo,зоопарк
cope,справиться
compound,соединение
abuse,злоупотребление
accurate,точный
acquire,приобретать
bake,выпекать
barrier,барьер
battery,аккумулятор
beard,борода
behave,вести себя
beside,рядом
bicycle,велосипед
bin,мусорное ведро
biscuit,печенье
bonus,бонус
brush,щетка
bucket,ведро
budget,бюджет
butcher,мясник
carpet,ковер
centimetre,сантиметр
cereal,крупа
certificate,свидетельство
champion,чемпион
chemical,химический
cheque,проверять
cherry,вишня
cigarette,сигарета
cinema,кино
citizen,гражданин
classroom,школьный класс
data,данные
darling,дорогой
deaf,глухой
delay,задержка
diary,дневник
dish,блюдо
eastern,восточный
economic,экономический
email,Эл. адрес
employ,нанять
enable,включить
fee,плата
finance,финансы
flow,течь
formula,формула
frequent,частый
fridge,холодильник
fry,жарить
fulfil,выполнять
industry,промышленность
injury,"травма, повреждение"
institute,институт
jam,варенье
journalist,журналистка
absence,отсутствие
keen,увлеченный
kettle,чайник
keyboard,клавиатура
knee,колено
label,метка
laboratory,лаборатория
labour,"труд, работа"
lack,недостаток
ladder,лестница
lamb,ягненок
lamp,лампа
landlord,домовладелец
lazy,ленивый
leader,лидер
leadership,лидерство
leaf,лист
lean,худой
leather,кожа
lend,давать в долг
leisure,досуг
log,журнал
logical,логичный
lorry,грузовик
library,библиотека
mainly,в основном
maintain,поддерживать
maintenance,поддержание
major,главный
mall,торговый центр
manner,манера
margin,прибыль
marvellous,чудесный
massive,массивный
narrow,узкий
native,родной
naughty,непослушный
nearby,"рядом, поблизости"
neighbour,сосед
net,сеть
network,сеть
nicely,приятно
no way,ни за что
object,объект
objection,возражение
obligation,обязательство
observation,наблюдение
observe,наблюдать
obtain,получить
occasion,случай
occupy,занимать
occur,происходить
ocean,океан
o’clock,час
of course,конечно
operate,работать
oppose,противостоять
pace,темп
pad,подушечка
palace,дворец
pale,бледный
panic,паника
parcel,посылка
parliament,парламент
participate,принимать участие
partly,частично
passenger,пассажир
patience,терпение
path,дорожка
pattern,шаблон
pause,Пауза
payment,оплата
qualify,квалифицировать
quality,качественный
quantity,количество
rail,рельс
railway,железная дорога
range,ассортимент
rapid,стремительный
rare,редкий
rarely,редко
react,реагировать
receipt,квитанция
receive,получить
safety,безопасность
sail,паруса
salad,салат
salary,зарплата
sale,продажа
salt,поваренная соль
sand,песок
sandwich,бутерброд
satellite,спутниковое
satisfaction,удовлетворение
sauce,соус
sausage,колбаса
scale,масштаб
scheme,схема
scratch,царапина
screen,экран
script,сценарий
seal,печать
season,время года
secondary,вторичный
seed,семя
seek,стремиться
select,Выбрать
senior,старшая
sensible,разумный
separate,отдельный
sequence,последовательность
servant,слуга
session,сессия
settlement,поселок
severe,серьезный
shadow,тень
tablet,планшет
tail,хвостик
tale,сказка
tap,нажмите
target,цель
task,задача
tax,налог
taxi,такси
tea,чай
telly,телик
technology,технологии
telephone,телефон
temperature,температура
unable,неспособный
undertake,предпринять
uniform,униформа
unlike,в отличие
vacation,отпуск
variation,вариация
vary,варьироваться
vast,обширный
vegetable,овощ
yard,двор
yellow,желтый
wage,заработная плата
wake,просыпаться
wander,блуждать
ward,палата
wardrobe,гардероб
weakness,слабое место
wealth,богатство
web,сеть
website,интернет сайт
western,западный
whatsoever,что бы то ни было
whereas,в то время как
wooden,деревянный
wool,шерсть
workshop,цех
kilometre,километр
largely,во многом
lunchtime,обеденный перерыв
link,ссылка на сайт
liquid,жидкость
limit,предел
literature,литература
mushroom,гриб
musical,музыкальный
muscle,мышца
movement,движение
mouse,мышь
mountain,гора
northern,северный
overseas,за границей
ownership,право собственности
programme,программа
pupil,ученица
pub,паб
primarily,в первую очередь
presume,предполагать
predict,предсказывать
practise,практика
praise,хвалить
potato,картофель
post office,Почта
pool,бассейн
politician,политик
policeman,полицейский
poem,стихотворение
plug,вилка
petrol,бензин
pepper,перец
pension,пенсия
pencil,карандаш
reduce,уменьшить
region,"область, край"
rice,рис
scientist,ученый
sheep,овец
sheet,лист
